Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
75941507,75979166,"ACOX1, ACOX, SCOX, MITCH","Acyl-Coenzyme A oxidase 1, palmitoyl","Mitchell syndrome, 618960 (3), Autosomal dominant; Peroxisomal acyl-CoA oxidase deficiency, 264470 (3), Autosomal recessive",AD/AR
75979240,76000586,"TEN1, C17orf106","TEN1, CST complex subunit",,
76000855,76005998,CDK3,Cyclin-dependent kinase 3,,
76006845,76027306,EVPL,Envoplakin,,
76038785,76072517,"SRP68, SCN10","Signal recognition particle, 68kD","?Neutropenia, severe congenital, 10, autosomal recessive, 620534 (3), Autosomal recessive",AR
76071962,76077537,"GALR2, GALNR2",Galanin receptor 2,,
76079182,76082806,"ZACN, LGICZ1, ZAC, L2",Zinc activated ion channel,,
76081016,76103787,"EXOC7, EX070, KIAA1067, NEDSEBA",Exocyst complex component 7,"Neurodevelopmental disorder with seizures and brain atrophy, 619072 (3), Autosomal recessive",AR
76136333,76141245,"FOXJ1, FKHL13, HFH4, CILD43",Forkhead box J1,"Ciliary dyskinesia, primary, 43, 618699 (3), Autosomal dominant",AD
76274049,76310964,"QRICH2, SPGF35",Glutamine-rich protein 2,"Spermatogenic failure 35, 618341 (3), Autosomal recessive",AR
76309478,76354198,PRPSAP1,Phosphoribosyl pyrophosphate synthetase-associated protein-1,,
76383204,76387855,SPHK1,Sphingosine kinase,,
76389456,76453152,"UBE2O, KIAA1734",Ubiquitin-conjugating enzyme E2 O,,
76453351,76470117,"AANAT, SNAT",Arylalkylamine N-acetyltransferase,,
76470893,76501427,"RHBDF2, IRHOM2, TOC","Rhomboid 5, Drosophila, homolog of, 2","Tylosis with esophageal cancer, 148500 (3), Autosomal dominant",AD
76527356,76551193,"CYGB, HGB, STAP",Cytoglobin,,
76527586,76553580,"PRCD, RP36","PRCD, Dog, homolog of","Retinitis pigmentosa 36, 610599 (3)",
76565377,76585860,"ST6GALNAC2, SIAT7B, SAITL1","ST6 alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",,
76617407,76643757,"ST6GALNAC1, SIAT7A, STYI","ST6 alpha-N-aetyl-neuraminyl-2,3-beta-galactosyl-1, 3-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",,
76712836,76726606,"JMJD6, PSR",Jumonji domain containing 6 (phosphatidylserine receptor),,
76726041,76733881,"METTL23, C17orf95, MRT44",Methyltransferase-like 23,"Intellectual developmental disorder, autosomal recessive 44, 615942 (3), Autosomal recessive",AR
76734115,76737411,"SRSF2, SFRS2, SC35",Serine/arginine-rich splicing factor 2,,
76736634,76803805,MFSD11,Major facilitator superfamily domain-containing protein 11,,
76868404,76950393,MGAT5B,"Alpha-1,6-mannosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase isozyme B",,
77088643,77094986,"SNHG20, LINC00338",Small nucleolar RNA host gene 20,,
77088685,77217101,SEC14L,SEC14-like lipid-binding protein 1,,
77200001,83257441,ATOD4,"Dermatitis, atopic, 4","{Dermatitis, atopic, susceptibility to, 4}, 605805 (2)",
77200001,83257441,IS5,"Scoliosis, idiopathic, susceptibility to, 5","{Scoliosis, idiopathic, susceptibility to, 5}, 612239 (2)",
77281499,77500596,"SEPT9, MSF, MSF1, NAPB",Septin 9,"Amyotrophy, hereditary neuralgic, 162100 (3), Autosomal dominant",AD
77957557,78108835,"TNRC6C, KIAA1582",Trinucleotide repeat-containing gene 6C,,
78107397,78132427,"TMC6, EVER1, EV1",Transmembrane channel-like 6,"Epidermodysplasia verruciformis, 226400 (3), Autosomal recessive",AR
78130771,78142968,"TMC8, EVER2, EV2",Transmembrane channel-like 8,"Epidermodysplasia verruciformis 2, 618231 (3), Autosomal recessive",AR
78168545,78172964,SYNGR2,Synaptogyrin 2,,
78174079,78187204,TK1,Thymidine kinase-1,,
78214253,78225635,"BIRC5, API4",Baculoviral IAP repeat-containing protein 5,,
78231293,78240987,TMEM235,Transmembrane protein 235,,
78356778,78360925,"SOCS3, SSI3, CIS3",Suppressor of cytokine signaling 3,,
78378649,78424659,PGS1,Phosphatidylglycerophosphate synthase 1,,
78423697,78577396,"DNAH17, DNEL2, SPGF39","Dynein, axonemal, heavy chain 17","Spermatogenic failure 39, 618643 (3), Autosomal recessive",AR
78674048,78782273,"CYTH1, D17S811E, SEC7",Cytohesin 1,,
78787381,78841439,"USP36, KIAA1453",Ubiquitin-specific protease 36,,
78852977,78925387,TIMP2,Tissue inhibitor of metalloproteinase-2,,
78971255,78979923,LGALS3BP,"Lectin, galactoside-binding, soluble, 3 binding protein (galectin 6 binding protein)",,
78991716,79009764,"CANT1, SCAN1, DBQD1, EDM7",Calcium-activated nucleotidase 1,"Desbuquois dysplasia 1, 251450 (3), Autosomal recessive; Epiphyseal dysplasia, multiple, 7, 617719 (3), Autosomal recessive",AR
79022934,79049788,"C1QTNF1, GIP",C1q- and tumor necrosis factor-related protein 1,,
79074824,79088599,"NAGLUEB, FLJ21865","N-acetylglucosaminidase, endo-beta",,
79089345,79665571,"RBFOX3, FOX3, NEUN, HRNBP3","RNA-binding protein FOX1, C. Elegans, homolog of, 3",,
79730943,79742219,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase 7,,
79777311,79787983,"CBX2, M33, SRXY5",Chromobox 2,"?46XY sex reversal 5, 613080 (3), Autosomal recessive",AR
79792132,79797077,"CBX8, PC3",Chromobox 8,,
79833156,79839440,"CBX4, PC2",Chromobox 4,,
79932343,80035872,TBC1D16,"TBC1 domain family, member 16",,
80036642,80100613,"CCDC40, KIAA1640",Coiled-coil domain-containing protein 40,"Ciliary dyskinesia, primary, 15, 613808 (3), Autosomal recessive",AR
80101581,80119881,GAA,"Glucosidase, acid alpha-","Glycogen storage disease II, 232300 (3), Autosomal recessive",AR
80134369,80147128,"EIF4A3, DDX48, MUK34, NMP265, KIAA0111, RCPS",Eukaryotic translation initiation factor 4A3,"Robin sequence with cleft mandible and limb anomalies, 268305 (3), Autosomal recessive",AR
80170030,80209331,"CARD14, CARMA2, BIMP2, PSORS2, PSS1, PRP",Caspase recruitment domain-containing protein 14,"Psoriasis 2, 602723 (3), Autosomal dominant; Pityriasis rubra pilaris, 173200 (3), Autosomal dominant",AD
80200673,80220333,"SGSH, MPS3A, SFMD",N-sulfoglucosamine sulfohydrolase (sulfamidase),"Mucopolysaccharidosis type IIIA (Sanfilippo A), 252900 (3), Autosomal recessive",AR
80220427,80253500,SLC26A11,"Solute carrier family 26 (sulfate transporter), member 11",,
80260852,80398794,"RNF213, ALO17, KIAA1618, MYMY2",Ring finger protein 213,"{Moyamoya disease 2, susceptibility to}, 607151 (3), Autosomal recessive, Autosomal dominant",AD/AR
80415167,80438086,ENDOV,Endonuclease V,,
80466834,80476607,"NPTX1, NP1, SCA50",Neuronal pentraxin 1,"Spinocerebellar ataxia 50, 620158 (3), Autosomal dominant",AD
80544838,80966368,"RPTOR, RAPTOR, KIAA1303",Regulatory-associated protein of MTOR,,
80991841,81000133,CHMP6,Charged multivesicular body protein 6,,
81035151,81117434,"BAIAP2, IRSP53",BAI1-associated protein 2,,
81117295,81166221,"AATK, AATYK",Apoptosis-associated tyrosine kinase,,
81125883,81125949,"MIR338, MIRN338",Micro RNA 338,,
81189596,81222965,"AZI1, ZA1, KIAA1118","5-azacytidine-induced gene 1, mouse, homolog of",,
81239311,81241310,"NDUFAF8, C17orf89, MC1DN34","NADH dehydrogenase (ubiquinone) complex I, assembly factor 8","Mitochondrial complex I deficiency, nuclear type 34, 618776 (3), Autosomal recessive",AR
81244811,81295307,SLC38A10,"Solute carrier family 38 (amino acid transporter), member 10",,
81395457,81466331,"BAHCC1, BAHD2, KIAA1447",BAH domain- and coiled-coil domain-containing protein 1,,
81509971,81512799,"ACTG1, DFNA20, DFNA26, BRWS2","Actin, gamma-1","Deafness, autosomal dominant 20/26, 604717 (3), Autosomal dominant; Baraitser-Winter syndrome 2, 614583 (3), Autosomal dominant",AD
81515062,81537130,"FSCN2, RFSN, RP30","Fascin, sea urchin, homolog of, 2","Retinitis pigmentosa 30, 607921 (3)",
81539891,81553133,"C17orf70, FAAP100",Chromosome 17 open reading frame 70,,
81556885,81637112,"NPL4, KIAA1499","NPL4 homolog, ubiquitin recognition factor",,
81650459,81663127,"PDE6G, PDEG, RP57",Phosphodiesterase 6G,"Retinitis pigmentosa 57, 613582 (3), Autosomal recessive",AR
81666737,81673899,CCDC137,Coiled-coil domain-containing protein 137,,
81681165,81683797,ARL16,ADP ribosylation factor-like GTPase 16,,
81684011,81702121,"HGS, HRS",Human growth factor-regulated tyrosine kinase substrate,,
81703367,81707517,"MRPL12, RPML12","Ribosomal protein, mitochondrial, L12","?Combined oxidative phosphorylation deficiency 45, 618951 (3), Autosomal recessive",AR
81712284,81721012,"SLC25A10, DIC, MTDPS19","Solute carrier family 25 (mitochondrial carrier), member 10 (dicarboxylate ion carrier)","?Mitochondrial DNA depletion syndrome 19, 618972 (3), Autosomal recessive",AR
81804150,81814008,"GCGR, MVAH",Glucagon receptor,"Mahvash disease, 619290 (3), Autosomal recessive",AR
81822361,81833291,"FAM195B, MCRIP1","Family with sequence similarity 194, member B",,
81843166,81860535,"P4HB, PROHB, CLCRP1","Procollagen-proline, 2-oxoglutarate-4-dioxygenase, beta polypeptide","Cole-Carpenter syndrome 1, 112240 (3), Autosomal dominant",AD
81867721,81871337,"ARHGDIA, GDIA1, NPHS8",Rho GDP dissociation inhibitor (GDI) alpha,"Nephrotic syndrome, type 8, 615244 (3), Autosomal recessive",AR
81887835,81891587,"ALYREF, THOC4, ALY, BEF",ALY/REF export factor,,
81890790,81900533,"ANAPC11, APC11",Anaphase-promoting complex subunit 11,,
81900958,81911399,"PCYT2, ET, SPG82","Phosphate cytidylyltransferase 2, ethanolamine","Spastic paraplegia 82, autosomal recessive, 618770 (3), Autosomal recessive",AR
81902238,81902905,"NPB, PPL7",Neuropeptide B,,
81911939,81918176,"SIRT7, SIR2L7","Sirtuin 7 (Sir2, S. cerevisiae, homolog of, 7)",,
81918270,81931244,MAFG,MAF bZIP transcription factor G,,
81932391,81937300,"PYCR1, PRO3, ARCL2B, ARCL3B",Pyrroline-5-carboxylate reductase-1,"Cutis laxa, autosomal recessive, type IIIB, 614438 (3), Autosomal recessive; Cutis laxa, autosomal recessive, type IIB, 612940 (3), Autosomal recessive",AR
81952507,81961187,NOTUM,"Notum, palmitoleoyl-protein carboxylesterase",,
81977629,82017406,"ASPSCR1, RCC17, ASPL, ASPS","Alveolar soft-part sarcoma chromosome region, candidate 1","Alveolar soft-part sarcoma, 606243 (3)",
82018703,82022878,"CENPX, STRA13, CENPX, FAAP10, MHF2, D9",Centromeric protein X,,
82031678,82034204,RAC3,Rac family small GTPase 3,"Neurodevelopmental disorder with structural brain anomalies and dysmorphic facies, 618577 (3), Autosomal dominant",AD
82035858,82037697,"DCXR, P34H, PNTSU",Dicarbonyl/L-xylulose reductase,"[Pentosuria], 260800 (3), Autosomal recessive",AR
82047902,82051811,RFNG,Radical fringe,,
82050932,82057470,GPS1,G protein pathway suppressor 1,,
82078338,82098236,FASN,Fatty acid synthase,,
82217934,82240086,"SLC16A3, MCT4",Solute carrier family 16 (monocarboxylic acid transporter) member 3,,
82239019,82273750,"CSNK1D, ASPS, FASPS2","Casein kinase-1, delta","Advanced sleep-phase syndrome, familial, 2, 615224 (3), Autosomal dominant",AD
82314873,82317608,CD7,CD7 antigen (p41),,
82321024,82333959,"SECTM1, K12",Secreted and transmembrane 1,,
82359247,82363775,TEX19,Testis-expressed gene 19,,
82371765,82377458,"GPR14, UTR2, UTR",G protein-coupled receptor-14 (urotensin II receptor),,
82418347,82442645,HEXD,Hexosaminidase D,,
82442586,82450752,"CYBC1, EROS, C17orf62, CGD5",Cytochrome b(-254) chaperone 1,"Chronic granulomatous disease 5, autosomal recessive, 618935 (3), Autosomal recessive",AR
82458198,82490537,"NARF, IOP2",Nuclear prelamin A recognition factor,,
82519732,82604602,"FOXK2, ILF1",Forkhead box K2 (interleukin enhancer-binding factor 1),,
82614562,82648444,"WDR45B, WIPI3, WDR45L, NEDSBAS",WD repeat domain 45B,"Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures, 617977 (3), Autosomal recessive",AR
82654973,82698698,RAB40B,"RAB40B, member Ras oncogene family",,
82716706,82728013,FN3KRP,Fructosamine 3-kinase-related protein,,
82735615,82751196,FN3K,Fructosamine 3-kinase,,
82752065,82945914,"TBCD, PEBAT",Tubulin-specific chaperone D,"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum, 617193 (3), Autosomal recessive",AR
82829434,82840022,"ZNF750, FLJ13841, SLDPE",Zinc finger protein 750,"?Seborrhea-like dermatitis with psoriasiform elements, 610227 (3)",
82942149,83051770,B3GNTL1,"Beat-1,3-N-acetylglucosaminyltransferase-like 1",,
83079609,83095122,METRNL,Meteorin-like protein,,
1,83257441,G6PDL,Glucose-6-phosphate dehydrogenase-like,,
1,83257441,ODS1,"Opioid dependence, susceptibility to, 1","{Opioid dependence, susceptibility to, 1}, 610064 (2)",
